season,week,celebrity_name,exit_week,result_type,placement,n_judges,raw_score_sum,max_possible_points,normalized_score,n_contestants,judge_share,judge_rank,is_eliminated,rule_system
1,4,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,4,0.21739130434782608,4.0,False,Rank
1,5,Joey McIntyre,99,finalist,3,3,22.5,30.0,0.75,3,0.30821917808219174,3.0,False,Rank
1,1,Trista Sutter,2,eliminated,6,3,18.0,30.0,0.6,6,0.16513761467889906,4.5,False,Rank
1,2,Trista Sutter,2,eliminated,6,3,19.0,30.0,0.6333333333333333,6,0.15702479338842976,4.0,True,Rank
2,1,Tatum O'Neal,2,eliminated,9,3,23.0,30.0,0.7666666666666667,10,0.11794871794871796,2.5,False,Rank
2,2,Tatum O'Neal,2,eliminated,9,3,17.0,30.0,0.5666666666666667,9,0.08499999999999999,8.0,True,Rank
2,1,Tia Carrere,5,eliminated,6,3,20.0,30.0,0.6666666666666666,10,0.10256410256410256,6.0,False,Rank
2,2,Tia Carrere,5,eliminated,6,3,22.0,30.0,0.7333333333333333,9,0.10999999999999999,5.5,False,Rank
2,3,Tia Carrere,5,eliminated,6,3,26.0,30.0,0.8666666666666667,8,0.14285714285714288,3.0,False,Rank
2,4,Tia Carrere,5,eliminated,6,3,25.0,30.0,0.8333333333333334,7,0.15822784810126583,4.0,False,Rank
2,5,Tia Carrere,5,eliminated,6,3,22.0,30.0,0.7333333333333333,6,0.1456953642384106,6.0,True,Rank
2,1,George Hamilton,6,eliminated,5,3,18.0,30.0,0.6,10,0.0923076923076923,8.0,False,Rank
2,2,George Hamilton,6,eliminated,5,3,22.0,30.0,0.7333333333333333,9,0.10999999999999999,5.5,False,Rank
2,3,George Hamilton,6,eliminated,5,3,22.0,30.0,0.7333333333333333,8,0.12087912087912088,5.5,False,Rank
2,4,George Hamilton,6,eliminated,5,3,21.0,30.0,0.7,7,0.13291139240506328,6.0,False,Rank
2,5,George Hamilton,6,eliminated,5,3,24.0,30.0,0.8,6,0.15894039735099338,4.0,False,Rank
2,6,George Hamilton,6,eliminated,5,3,23.0,30.0,0.7666666666666667,5,0.17293233082706766,4.5,True,Rank
2,1,Lisa Rinna,7,eliminated,4,3,19.0,30.0,0.6333333333333333,10,0.09743589743589744,7.0,False,Rank
2,2,Lisa Rinna,7,eliminated,4,3,20.0,30.0,0.6666666666666666,9,0.09999999999999999,7.0,False,Rank
2,3,Lisa Rinna,7,eliminated,4,3,25.0,30.0,0.8333333333333334,8,0.13736263736263737,4.0,False,Rank
2,4,Lisa Rinna,7,eliminated,4,3,26.0,30.0,0.8666666666666667,7,0.16455696202531647,2.5,False,Rank
2,5,Lisa Rinna,7,eliminated,4,3,25.0,30.0,0.8333333333333334,6,0.16556291390728478,3.0,False,Rank
2,6,Lisa Rinna,7,eliminated,4,3,27.0,30.0,0.9,5,0.20300751879699247,3.0,False,Rank
2,7,Lisa Rinna,7,eliminated,4,3,26.5,30.0,0.8833333333333333,4,0.25980392156862747,3.0,True,Rank
2,1,Stacy Keibler,99,finalist,3,3,22.0,30.0,0.7333333333333333,10,0.11282051282051281,4.0,False,Rank
2,2,Stacy Keibler,99,finalist,3,3,29.0,30.0,0.9666666666666667,9,0.145,1.0,False,Rank
2,3,Stacy Keibler,99,finalist,3,3,27.0,30.0,0.9,8,0.14835164835164835,1.5,False,Rank
2,4,Stacy Keibler,99,finalist,3,3,26.0,30.0,0.8666666666666667,7,0.16455696202531647,2.5,False,Rank
2,5,Stacy Keibler,99,finalist,3,3,30.0,30.0,1.0,6,0.19867549668874174,1.0,False,Rank
2,6,Stacy Keibler,99,finalist,3,3,30.0,30.0,1.0,5,0.22556390977443608,1.5,False,Rank
2,7,Stacy Keibler,99,finalist,3,3,27.5,30.0,0.9166666666666666,4,0.2696078431372549,1.5,False,Rank
2,8,Stacy Keibler,99,finalist,3,3,28.6665,30.0,0.95555,3,0.339920718960216,2.0,False,Rank
2,1,Jerry Rice,99,finalist,2,3,21.0,30.0,0.7,10,0.10769230769230768,5.0,False,Rank
2,2,Jerry Rice,99,finalist,2,3,23.0,30.0,0.7666666666666667,9,0.115,4.0,False,Rank
2,3,Jerry Rice,99,finalist,2,3,19.0,30.0,0.6333333333333333,8,0.1043956043956044,7.0,False,Rank
2,4,Jerry Rice,99,finalist,2,3,24.0,30.0,0.8,7,0.1518987341772152,5.0,False,Rank
2,5,Jerry Rice,99,finalist,2,3,23.0,30.0,0.7666666666666667,6,0.152317880794702,5.0,False,Rank
2,6,Jerry Rice,99,finalist,2,3,23.0,30.0,0.7666666666666667,5,0.17293233082706766,4.5,False,Rank
2,7,Jerry Rice,99,finalist,2,3,20.5,30.0,0.6833333333333333,4,0.20098039215686275,4.0,False,Rank
2,8,Jerry Rice,99,finalist,2,3,26.666600000000003,30.0,0.8888866666666667,3,0.3162063678588072,3.0,False,Rank
2,1,Giselle Fernandez,3,eliminated,8,3,23.0,30.0,0.7666666666666667,10,0.11794871794871796,2.5,False,Rank
2,2,Giselle Fernandez,3,eliminated,8,3,24.0,30.0,0.8,9,0.12,3.0,False,Rank
2,3,Giselle Fernandez,3,eliminated,8,3,22.0,30.0,0.7333333333333333,8,0.12087912087912088,5.5,True,Rank
2,1,Master P,4,eliminated,7,3,12.0,30.0,0.4,10,0.06153846153846154,10.0,False,Rank
2,2,Master P,4,eliminated,7,3,16.0,30.0,0.5333333333333333,9,0.08,9.0,False,Rank
2,3,Master P,4,eliminated,7,3,14.0,30.0,0.4666666666666667,8,0.07692307692307693,8.0,False,Rank
2,4,Master P,4,eliminated,7,3,8.0,30.0,0.26666666666666666,7,0.05063291139240506,7.0,True,Rank
2,1,Drew Lachey,99,finalist,1,3,24.0,30.0,0.8,10,0.12307692307692308,1.0,False,Rank
2,2,Drew Lachey,99,finalist,1,3,27.0,30.0,0.9,9,0.135,2.0,False,Rank
2,3,Drew Lachey,99,finalist,1,3,27.0,30.0,0.9,8,0.14835164835164835,1.5,False,Rank
2,4,Drew Lachey,99,finalist,1,3,28.0,30.0,0.9333333333333333,7,0.17721518987341772,1.0,False,Rank
2,5,Drew Lachey,99,finalist,1,3,27.0,30.0,0.9,6,0.17880794701986755,2.0,False,Rank
2,6,Drew Lachey,99,finalist,1,3,30.0,30.0,1.0,5,0.22556390977443608,1.5,False,Rank
2,7,Drew Lachey,99,finalist,1,3,27.5,30.0,0.9166666666666666,4,0.2696078431372549,1.5,False,Rank
2,8,Drew Lachey,99,finalist,1,3,28.9998,30.0,0.96666,3,0.3438729131809768,1.0,False,Rank
2,1,Kenny Mayne,1,eliminated,10,3,13.0,30.0,0.43333333333333335,10,0.06666666666666667,9.0,True,Rank
3,1,Harry Hamlin,3,eliminated,9,3,17.0,30.0,0.5666666666666667,11,0.08018867924528301,8.0,False,Percent
3,2,Harry Hamlin,3,eliminated,9,3,21.0,30.0,0.7,10,0.09130434782608694,8.0,False,Percent
3,3,Harry Hamlin,3,eliminated,9,3,22.0,30.0,0.7333333333333333,9,0.10628019323671498,5.5,True,Percent
3,1,Vivica A. Fox,4,eliminated,8,3,22.0,30.0,0.7333333333333333,11,0.10377358490566037,3.5,False,Percent
3,2,Vivica A. Fox,4,eliminated,8,3,24.0,30.0,0.8,10,0.10434782608695653,3.5,False,Percent
3,3,Vivica A. Fox,4,eliminated,8,3,27.0,30.0,0.9,9,0.13043478260869568,1.5,False,Percent
3,4,Vivica A. Fox,4,eliminated,8,3,24.0,30.0,0.8,8,0.12121212121212123,5.0,True,Percent
3,1,Monique Coleman,8,eliminated,4,3,19.0,30.0,0.6333333333333333,11,0.08962264150943396,6.0,False,Percent
3,2,Monique Coleman,8,eliminated,4,3,26.0,30.0,0.8666666666666667,10,0.11304347826086956,2.0,False,Percent
3,3,Monique Coleman,8,eliminated,4,3,27.0,30.0,0.9,9,0.13043478260869568,1.5,False,Percent
3,4,Monique Coleman,8,eliminated,4,3,24.0,30.0,0.8,8,0.12121212121212123,5.0,False,Percent
3,5,Monique Coleman,8,eliminated,4,3,27.0,30.0,0.9,7,0.14917127071823205,2.5,False,Percent
3,6,Monique Coleman,8,eliminated,4,3,23.0,30.0,0.7666666666666667,5,0.19491525423728814,4.0,False,Percent
3,7,Monique Coleman,8,eliminated,4,3,27.0,30.0,0.9,5,0.2,4.0,False,Percent
3,8,Monique Coleman,8,eliminated,4,3,26.5,30.0,0.8833333333333333,4,0.24311926605504586,4.0,True,Percent
3,1,Joey Lawrence,99,finalist,3,3,21.0,30.0,0.7,11,0.0990566037735849,5.0,False,Percent
3,2,Joey Lawrence,99,finalist,3,3,29.0,30.0,0.9666666666666667,10,0.12608695652173912,1.0,False,Percent
3,3,Joey Lawrence,99,finalist,3,3,22.0,30.0,0.7333333333333333,9,0.10628019323671498,5.5,False,Percent
3,4,Joey Lawrence,99,finalist,3,3,27.0,30.0,0.9,8,0.13636363636363638,3.0,False,Percent
3,5,Joey Lawrence,99,finalist,3,3,25.0,30.0,0.8333333333333334,7,0.13812154696132597,5.0,False,Percent
3,6,Joey Lawrence,99,finalist,3,3,24.0,30.0,0.8,5,0.20338983050847456,3.0,False,Percent
3,7,Joey Lawrence,99,finalist,3,3,28.5,30.0,0.95,5,0.2111111111111111,1.5,False,Percent
3,8,Joey Lawrence,99,finalist,3,3,27.0,30.0,0.9,4,0.24770642201834864,2.5,False,Percent
3,9,Joey Lawrence,99,finalist,3,3,29.5,30.0,0.9833333333333333,3,0.33333333333333337,2.0,False,Percent
3,1,Mario Lopez,99,finalist,2,3,26.0,30.0,0.8666666666666667,11,0.12264150943396228,1.0,False,Percent
3,2,Mario Lopez,99,finalist,2,3,21.0,30.0,0.7,10,0.09130434782608694,8.0,False,Percent
3,3,Mario Lopez,99,finalist,2,3,22.0,30.0,0.7333333333333333,9,0.10628019323671498,5.5,False,Percent
3,4,Mario Lopez,99,finalist,2,3,29.0,30.0,0.9666666666666667,8,0.14646464646464646,1.0,False,Percent
3,5,Mario Lopez,99,finalist,2,3,27.0,30.0,0.9,7,0.14917127071823205,2.5,False,Percent
3,6,Mario Lopez,99,finalist,2,3,28.0,30.0,0.9333333333333333,5,0.23728813559322032,1.0,False,Percent
3,7,Mario Lopez,99,finalist,2,3,28.0,30.0,0.9333333333333333,5,0.2074074074074074,3.0,False,Percent
3,8,Mario Lopez,99,finalist,2,3,28.5,30.0,0.95,4,0.26146788990825687,1.0,False,Percent
3,9,Mario Lopez,99,finalist,2,3,29.5,30.0,0.9833333333333333,3,0.33333333333333337,2.0,False,Percent
3,10,Mario Lopez,99,finalist,2,3,29.666600000000003,30.0,0.9888866666666668,2,0.5,1.5,False,Percent
3,1,Emmitt Smith,99,finalist,1,3,24.0,30.0,0.8,11,0.11320754716981134,2.0,False,Percent
3,2,Emmitt Smith,99,finalist,1,3,24.0,30.0,0.8,10,0.10434782608695653,3.5,False,Percent
3,3,Emmitt Smith,99,finalist,1,3,19.0,30.0,0.6333333333333333,9,0.09178743961352658,9.0,False,Percent
3,4,Emmitt Smith,99,finalist,1,3,24.0,30.0,0.8,8,0.12121212121212123,5.0,False,Percent
3,5,Emmitt Smith,99,finalist,1,3,27.0,30.0,0.9,7,0.14917127071823205,2.5,False,Percent
3,6,Emmitt Smith,99,finalist,1,3,25.0,30.0,0.8333333333333334,5,0.211864406779661,2.0,False,Percent
3,7,Emmitt Smith,99,finalist,1,3,28.5,30.0,0.95,5,0.2111111111111111,1.5,False,Percent
3,8,Emmitt Smith,99,finalist,1,3,27.0,30.0,0.9,4,0.24770642201834864,2.5,False,Percent
3,9,Emmitt Smith,99,finalist,1,3,29.5,30.0,0.9833333333333333,3,0.33333333333333337,2.0,False,Percent
3,10,Emmitt Smith,99,finalist,1,3,29.666600000000003,30.0,0.9888866666666668,2,0.5,1.5,False,Percent
3,1,Shanna Moakler,2,eliminated,10,3,18.0,30.0,0.6,11,0.08490566037735849,7.0,False,Percent
3,2,Shanna Moakler,2,eliminated,10,3,22.0,30.0,0.7333333333333333,10,0.09565217391304347,6.0,True,Percent
3,1,Willa Ford,5,eliminated,7,3,22.0,30.0,0.7333333333333333,11,0.10377358490566037,3.5,False,Percent
3,2,Willa Ford,5,eliminated,7,3,23.0,30.0,0.7666666666666667,10,0.1,5.0,False,Percent
3,3,Willa Ford,5,eliminated,7,3,22.0,30.0,0.7333333333333333,9,0.10628019323671498,5.5,False,Percent
3,4,Willa Ford,5,eliminated,7,3,28.0,30.0,0.9333333333333333,8,0.14141414141414144,2.0,False,Percent
3,5,Willa Ford,5,eliminated,7,3,27.0,30.0,0.9,7,0.14917127071823205,2.5,True,Percent
3,1,Sara Evans,5,withdrew,6,3,15.0,30.0,0.5,11,0.07075471698113207,10.0,False,Percent
3,2,Sara Evans,5,withdrew,6,3,21.0,30.0,0.7,10,0.09130434782608694,8.0,False,Percent
3,3,Sara Evans,5,withdrew,6,3,25.0,30.0,0.8333333333333334,9,0.12077294685990339,3.0,False,Percent
3,4,Sara Evans,5,withdrew,6,3,20.0,30.0,0.6666666666666666,8,0.10101010101010101,8.0,False,Percent
3,5,Sara Evans,5,withdrew,6,3,24.0,30.0,0.8,7,0.13259668508287295,6.5,False,Percent
3,1,Jerry Springer,7,eliminated,5,3,16.0,30.0,0.5333333333333333,11,0.07547169811320754,9.0,False,Percent
3,2,Jerry Springer,7,eliminated,5,3,19.0,30.0,0.6333333333333333,10,0.08260869565217391,10.0,False,Percent
3,3,Jerry Springer,7,eliminated,5,3,21.0,30.0,0.7,9,0.10144927536231885,8.0,False,Percent
3,4,Jerry Springer,7,eliminated,5,3,22.0,30.0,0.7333333333333333,8,0.1111111111111111,7.0,False,Percent
3,5,Jerry Springer,7,eliminated,5,3,24.0,30.0,0.8,7,0.13259668508287295,6.5,False,Percent
3,6,Jerry Springer,7,eliminated,5,3,18.0,30.0,0.6,5,0.15254237288135591,5.0,False,Percent
3,7,Jerry Springer,7,eliminated,5,3,23.0,30.0,0.7666666666666667,5,0.1703703703703704,5.0,True,Percent
3,1,Tucker Carlson,1,eliminated,11,3,12.0,30.0,0.4,11,0.05660377358490567,11.0,True,Percent
4,1,John Ratzenberger,7,eliminated,6,3,17.0,30.0,0.5666666666666667,11,0.0825242718446602,8.0,False,Percent
4,2,John Ratzenberger,7,eliminated,6,3,21.0,30.0,0.7,11,0.08571428571428572,7.5,False,Percent
4,3,John Ratzenberger,7,eliminated,6,3,20.0,30.0,0.6666666666666666,10,0.09174311926605504,9.0,False,Percent
4,4,John Ratzenberger,7,eliminated,6,3,16.0,30.0,0.5333333333333333,9,0.08421052631578947,7.5,False,Percent
4,5,John Ratzenberger,7,eliminated,6,3,18.0,30.0,0.6,8,0.10227272727272728,6.0,False,Percent
4,6,John Ratzenberger,7,eliminated,6,3,19.0,30.0,0.6333333333333333,7,0.11176470588235293,7.0,False,Percent
4,7,John Ratzenberger,7,eliminated,6,3,22.5,30.0,0.75,6,0.14563106796116504,5.0,True,Percent
4,1,Ian Ziering,9,eliminated,4,3,21.0,30.0,0.7,11,0.10194174757281553,3.5,False,Percent
4,2,Ian Ziering,9,eliminated,4,3,22.0,30.0,0.7333333333333333,11,0.08979591836734693,5.0,False,Percent
4,3,Ian Ziering,9,eliminated,4,3,24.0,30.0,0.8,10,0.11009174311926606,2.5,False,Percent
4,4,Ian Ziering,9,eliminated,4,3,24.0,30.0,0.8,9,0.12631578947368421,3.0,False,Percent
4,5,Ian Ziering,9,eliminated,4,3,24.0,30.0,0.8,8,0.13636363636363638,4.0,False,Percent
4,6,Ian Ziering,9,eliminated,4,3,24.0,30.0,0.8,7,0.1411764705882353,4.0,False,Percent
4,7,Ian Ziering,9,eliminated,4,3,27.0,30.0,0.9,6,0.17475728155339806,3.5,False,Percent
4,8,Ian Ziering,9,eliminated,4,3,23.5,30.0,0.7833333333333333,5,0.18725099601593626,4.0,False,Percent
4,9,Ian Ziering,9,eliminated,4,3,29.0,30.0,0.9666666666666667,4,0.24472573839662445,4.0,True,Percent
4,1,Clyde Drexler,5,eliminated,8,3,16.0,30.0,0.5333333333333333,11,0.07766990291262137,9.0,False,Percent
4,2,Clyde Drexler,5,eliminated,8,3,18.0,30.0,0.6,11,0.07346938775510205,11.0,False,Percent
4,3,Clyde Drexler,5,eliminated,8,3,16.0,30.0,0.5333333333333333,10,0.07339449541284404,10.0,False,Percent
4,4,Clyde Drexler,5,eliminated,8,3,15.0,30.0,0.5,9,0.07894736842105264,9.0,False,Percent
4,5,Clyde Drexler,5,eliminated,8,3,13.0,30.0,0.43333333333333335,8,0.07386363636363637,8.0,True,Percent
4,1,Laila Ali,99,finalist,3,3,23.0,30.0,0.7666666666666667,11,0.11165048543689322,2.0,False,Percent
4,2,Laila Ali,99,finalist,3,3,27.0,30.0,0.9,11,0.11020408163265308,1.0,False,Percent
4,3,Laila Ali,99,finalist,3,3,21.0,30.0,0.7,10,0.09633027522935779,7.0,False,Percent
4,4,Laila Ali,99,finalist,3,3,21.0,30.0,0.7,9,0.11052631578947368,5.5,False,Percent
4,5,Laila Ali,99,finalist,3,3,28.0,30.0,0.9333333333333333,8,0.15909090909090912,2.0,False,Percent
4,6,Laila Ali,99,finalist,3,3,28.0,30.0,0.9333333333333333,7,0.16470588235294117,1.5,False,Percent
4,7,Laila Ali,99,finalist,3,3,29.5,30.0,0.9833333333333333,6,0.19093851132686082,1.5,False,Percent
4,8,Laila Ali,99,finalist,3,3,26.5,30.0,0.8833333333333333,5,0.21115537848605576,3.0,False,Percent
4,9,Laila Ali,99,finalist,3,3,30.0,30.0,1.0,4,0.2531645569620253,1.5,False,Percent
4,10,Laila Ali,99,finalist,3,3,28.3332,30.0,0.9444400000000001,3,0.3281854310465651,3.0,False,Percent
4,1,Apolo Anton Ohno,99,finalist,1,3,21.0,30.0,0.7,11,0.10194174757281553,3.5,False,Percent
4,2,Apolo Anton Ohno,99,finalist,1,3,26.0,30.0,0.8666666666666667,11,0.10612244897959185,2.0,False,Percent
4,3,Apolo Anton Ohno,99,finalist,1,3,23.0,30.0,0.7666666666666667,10,0.10550458715596331,5.0,False,Percent
4,4,Apolo Anton Ohno,99,finalist,1,3,26.0,30.0,0.8666666666666667,9,0.1368421052631579,2.0,False,Percent
4,5,Apolo Anton Ohno,99,finalist,1,3,30.0,30.0,1.0,8,0.17045454545454547,1.0,False,Percent
4,6,Apolo Anton Ohno,99,finalist,1,3,28.0,30.0,0.9333333333333333,7,0.16470588235294117,1.5,False,Percent
4,7,Apolo Anton Ohno,99,finalist,1,3,27.0,30.0,0.9,6,0.17475728155339806,3.5,False,Percent
4,8,Apolo Anton Ohno,99,finalist,1,3,29.0,30.0,0.9666666666666667,5,0.23107569721115537,1.0,False,Percent
4,9,Apolo Anton Ohno,99,finalist,1,3,29.5,30.0,0.9833333333333333,4,0.24894514767932488,3.0,False,Percent
4,10,Apolo Anton Ohno,99,finalist,1,3,29.3332,30.0,0.9777733333333334,3,0.3397685007685367,1.0,False,Percent
4,1,Shandi Finnessey,3,eliminated,10,3,19.0,30.0,0.6333333333333333,11,0.09223300970873786,5.5,False,Percent
4,2,Shandi Finnessey,3,eliminated,10,3,20.0,30.0,0.6666666666666666,11,0.0816326530612245,10.0,False,Percent
4,3,Shandi Finnessey,3,eliminated,10,3,21.0,30.0,0.7,10,0.09633027522935779,7.0,True,Percent
4,1,Paulina Porizkova,2,eliminated,11,3,19.0,30.0,0.6333333333333333,11,0.09223300970873786,5.5,False,Percent
4,2,Paulina Porizkova,2,eliminated,11,3,21.0,30.0,0.7,11,0.08571428571428572,7.5,True,Percent
4,1,Heather Mills,6,eliminated,7,3,18.0,30.0,0.6,11,0.08737864077669903,7.0,False,Percent
4,2,Heather Mills,6,eliminated,7,3,24.0,30.0,0.8,11,0.0979591836734694,3.5,False,Percent
4,3,Heather Mills,6,eliminated,7,3,24.0,30.0,0.8,10,0.11009174311926606,2.5,False,Percent
4,4,Heather Mills,6,eliminated,7,3,23.0,30.0,0.7666666666666667,9,0.12105263157894738,4.0,False,Percent
4,5,Heather Mills,6,eliminated,7,3,21.0,30.0,0.7,8,0.11931818181818182,5.0,False,Percent
4,6,Heather Mills,6,eliminated,7,3,23.0,30.0,0.7666666666666667,7,0.13529411764705881,5.0,True,Percent
4,1,Billy Ray Cyrus,8,eliminated,5,3,13.0,30.0,0.43333333333333335,11,0.06310679611650485,11.0,False,Percent
4,2,Billy Ray Cyrus,8,eliminated,5,3,21.0,30.0,0.7,11,0.08571428571428572,7.5,False,Percent
4,3,Billy Ray Cyrus,8,eliminated,5,3,21.0,30.0,0.7,10,0.09633027522935779,7.0,False,Percent
4,4,Billy Ray Cyrus,8,eliminated,5,3,21.0,30.0,0.7,9,0.11052631578947368,5.5,False,Percent
4,5,Billy Ray Cyrus,8,eliminated,5,3,17.0,30.0,0.5666666666666667,8,0.09659090909090909,7.0,False,Percent
4,6,Billy Ray Cyrus,8,eliminated,5,3,21.0,30.0,0.7,7,0.12352941176470587,6.0,False,Percent
4,7,Billy Ray Cyrus,8,eliminated,5,3,19.0,30.0,0.6333333333333333,6,0.12297734627831713,6.0,False,Percent
4,8,Billy Ray Cyrus,8,eliminated,5,3,19.0,30.0,0.6333333333333333,5,0.15139442231075695,5.0,True,Percent
4,1,Joey Fatone,99,finalist,2,3,24.0,30.0,0.8,11,0.11650485436893206,1.0,False,Percent
4,2,Joey Fatone,99,finalist,2,3,24.0,30.0,0.8,11,0.0979591836734694,3.5,False,Percent
4,3,Joey Fatone,99,finalist,2,3,24.0,30.0,0.8,10,0.11009174311926606,2.5,False,Percent
4,4,Joey Fatone,99,finalist,2,3,28.0,30.0,0.9333333333333333,9,0.1473684210526316,1.0,False,Percent
4,5,Joey Fatone,99,finalist,2,3,25.0,30.0,0.8333333333333334,8,0.14204545454545456,3.0,False,Percent
4,6,Joey Fatone,99,finalist,2,3,27.0,30.0,0.9,7,0.1588235294117647,3.0,False,Percent
4,7,Joey Fatone,99,finalist,2,3,29.5,30.0,0.9833333333333333,6,0.19093851132686082,1.5,False,Percent
4,8,Joey Fatone,99,finalist,2,3,27.5,30.0,0.9166666666666666,5,0.2191235059760956,2.0,False,Percent
4,9,Joey Fatone,99,finalist,2,3,30.0,30.0,1.0,4,0.2531645569620253,1.5,False,Percent
4,10,Joey Fatone,99,finalist,2,3,28.6665,30.0,0.95555,3,0.33204606818489824,2.0,False,Percent
4,1,Leeza Gibbons,4,eliminated,9,3,15.0,30.0,0.5,11,0.07281553398058253,10.0,False,Percent
4,2,Leeza Gibbons,4,eliminated,9,3,21.0,30.0,0.7,11,0.08571428571428572,7.5,False,Percent
4,3,Leeza Gibbons,4,eliminated,9,3,24.0,30.0,0.8,10,0.11009174311926606,2.5,False,Percent
4,4,Leeza Gibbons,4,eliminated,9,3,16.0,30.0,0.5333333333333333,9,0.08421052631578947,7.5,True,Percent
5,1,Cameron Mathison,8,eliminated,5,3,21.0,30.0,0.7,12,0.08171206225680934,7.0,False,Percent
5,2,Cameron Mathison,8,eliminated,5,3,21.0,30.0,0.7,11,0.08823529411764705,7.0,False,Percent
5,3,Cameron Mathison,8,eliminated,5,3,23.0,30.0,0.7666666666666667,10,0.09623430962343096,7.0,False,Percent
5,4,Cameron Mathison,8,eliminated,5,3,27.0,30.0,0.9,9,0.11538461538461539,3.0,False,Percent
5,5,Cameron Mathison,8,eliminated,5,3,26.0,30.0,0.8666666666666667,8,0.13065326633165827,3.5,False,Percent
5,6,Cameron Mathison,8,eliminated,5,3,25.0,30.0,0.8333333333333334,7,0.1388888888888889,4.5,False,Percent
5,7,Cameron Mathison,8,eliminated,5,3,25.5,30.0,0.85,6,0.16346153846153846,5.0,False,Percent
5,8,Cameron Mathison,8,eliminated,5,3,25.5,30.0,0.85,5,0.19391634980988595,3.0,True,Percent
5,1,Jane Seymour,7,eliminated,6,3,24.0,30.0,0.8,12,0.0933852140077821,3.5,False,Percent
5,2,Jane Seymour,7,eliminated,6,3,21.0,30.0,0.7,11,0.08823529411764705,7.0,False,Percent
5,3,Jane Seymour,7,eliminated,6,3,27.0,30.0,0.9,10,0.11297071129707113,2.0,False,Percent
5,4,Jane Seymour,7,eliminated,6,3,26.0,30.0,0.8666666666666667,9,0.11111111111111112,6.0,False,Percent
5,5,Jane Seymour,7,eliminated,6,3,26.0,30.0,0.8666666666666667,8,0.13065326633165827,3.5,False,Percent
5,6,Jane Seymour,7,eliminated,6,3,22.0,30.0,0.7333333333333333,7,0.12222222222222222,7.0,False,Percent
5,7,Jane Seymour,7,eliminated,6,3,25.0,30.0,0.8333333333333334,6,0.16025641025641027,6.0,True,Percent
5,1,Sabrina Bryan,6,eliminated,7,3,26.0,30.0,0.8666666666666667,12,0.10116731517509728,1.0,False,Percent
5,2,Sabrina Bryan,6,eliminated,7,3,26.0,30.0,0.8666666666666667,11,0.1092436974789916,2.0,False,Percent
5,3,Sabrina Bryan,6,eliminated,7,3,27.0,30.0,0.9,10,0.11297071129707113,2.0,False,Percent
5,4,Sabrina Bryan,6,eliminated,7,3,30.0,30.0,1.0,9,0.12820512820512822,1.0,False,Percent
